"Annotation","Author","Complex Expansion","Complex Expansion ID","Confidence-Score-author score","Confidence-Score-intact-miscore","Creation Date","Detection Method","Detection Method ID","Host Organism Taxonomy","Host Organism Taxonomy ID","interaction","Interaction Type","name","Negative","Parameters","Primary Interaction Type","Publication DB","Publication ID","ScoreAverage","selected","shared interaction","shared name","Source Biological Role","Source Biological Role ID","Source Database","Source Experimental Role","Source Experimental Role ID","Source Participant Detection Method","Source Participant Detection Method ID","Target Biological Role","Target Biological Role ID","Target Experimental Role","Target Experimental Role ID","Target Participant Detection Method","Target Participant Detection Method ID","Update Date","Xref","Xref ID"
"figure legend:Table S2|full coverage:Only protein-protein interactions|curation depth:imex curation","Wang et al. (2011)","","",,"0.37","2011/05/18","two hybrid","MI:0018","yeasx|Saccharomyces cerevisiae","4932","EBI-3934056","physical association","P46379 (EBI-3934056) P48723","false","","physical association","imex|pubmed","IM-15364|21988832",,"false","EBI-3934056","P46379 (EBI-3934056) P48723","unspecified role","MI:0499","psi-mi","unspecified role","MI:0499","nucleotide sequence identification","MI:0078","unspecified role","MI:0499","unspecified role","MI:0499","nucleotide sequence identification","MI:0078","2011/05/18","intact","MI:0469"
"dataset:Huntington's - Publications describing interactions involved in Huntington's disease|dataset:Neurodegeneration - Publications depicting interactions involved in neurodegenerative diseases.|full coverage:Only protein-protein interactions|curation depth:imex curation","Stelzl et al. (2005)","","",,"0.37","2005/10/19","two hybrid pooling approach","MI:0398","yeasx|Saccharomyces cerevisiae","4932","EBI-731656","physical association","P46379 (EBI-731656) P07858","false","","physical association","pubmed|imex|mint","16169070|IM-16517|MINT-5217955",,"false","EBI-731656","P46379 (EBI-731656) P07858","unspecified role","MI:0499","psi-mi","prey","MI:0498","nucleotide sequence identification","MI:0078","unspecified role","MI:0499","bait","MI:0496","nucleotide sequence identification","MI:0078","2008/09/22","intact","MI:0469"
"figure legend:Fig. 3A, Supp. Table 4, Supp. Dataset 5|dataset:Apoptosis - Interactions involving proteins with a function related to apoptosis|dataset:Cancer - Interactions investigated in the context of cancer|dataset:Chromatin - Epigenetic interactions resulting in chromatin modulation|full coverage:Only protein-protein interactions|curation depth:imex curation","-","spoke expansion","MI:1060",,"0.53","2011/01/20","anti bait coimmunoprecipitation","MI:0006","human-k_562|Homo sapiens myeloid leukemia cells.","9606","EBI-3505154","association","Q9BZK7 (EBI-3505154) O15379","false","","association","pubmed|imex","21258344|IM-17039",,"false","EBI-3505154","Q9BZK7 (EBI-3505154) O15379","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2011/01/25","",""
"figure legend:Fig. 3A, Supp. Table 4, Supp. Dataset 5|dataset:Apoptosis - Interactions involving proteins with a function related to apoptosis|dataset:Cancer - Interactions investigated in the context of cancer|dataset:Chromatin - Epigenetic interactions resulting in chromatin modulation|full coverage:Only protein-protein interactions|curation depth:imex curation","-","spoke expansion","MI:1060",,"0.35","2011/01/20","anti bait coimmunoprecipitation","MI:0006","human-k_562|Homo sapiens myeloid leukemia cells.","9606","EBI-3505154","association","Q9BZK7 (EBI-3505154) Q13227","false","","association","pubmed|imex","21258344|IM-17039",,"false","EBI-3505154","Q9BZK7 (EBI-3505154) Q13227","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2011/01/25","",""
"figure legend:Fig. 3A, Supp. Table 4, Supp. Dataset 5|dataset:Apoptosis - Interactions involving proteins with a function related to apoptosis|dataset:Cancer - Interactions investigated in the context of cancer|dataset:Chromatin - Epigenetic interactions resulting in chromatin modulation|full coverage:Only protein-protein interactions|curation depth:imex curation","-","spoke expansion","MI:1060",,"0.35","2011/01/20","anti bait coimmunoprecipitation","MI:0006","human-k_562|Homo sapiens myeloid leukemia cells.","9606","EBI-3505154","association","Q9BZK7 (EBI-3505154) O75376","false","","association","pubmed|imex","21258344|IM-17039",,"false","EBI-3505154","Q9BZK7 (EBI-3505154) O75376","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2011/01/25","",""
"author-identifiers:\BAIT gene GI:6563213, protein GI:10047116; PREY protein GI:7705459\","Ewing et al. (2007)","","","0.366","0.4","2006/09/22","anti bait coimmunoprecipitation","MI:0006","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-1077403","physical association","Q9P035 (EBI-1077403) Q9BUV8","false","","physical association","pubmed","17353931",,"false","EBI-1077403","Q9P035 (EBI-1077403) Q9BUV8","unspecified role","MI:0499","psi-mi","prey","MI:0498","sequence tag identification","MI:0102","unspecified role","MI:0499","bait","MI:0496","sequence tag identification","MI:0102","2008/09/22","",""
"figure legend:Table S3|full coverage:Only protein-protein interactions|curation depth:imex curation","Behrends et al. (2010)","spoke expansion","MI:1060",,"0.4","2010/11/29","anti tag coimmunoprecipitation","MI:0007","human-293t|Homo sapiens 293 cells transformed with SV40 large T antigen","9606","EBI-3197899","physical association","Q13501 (EBI-3197899) P40939","false","","physical association","pubmed|imex","20562859|IM-15184",,"false","EBI-3197899","Q13501 (EBI-3197899) P40939","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2010/12/09","intact","MI:0469"
"figure legend:Table S3|full coverage:Only protein-protein interactions|curation depth:imex curation","Behrends et al. (2010)","spoke expansion","MI:1060",,"0.4","2010/11/29","anti tag coimmunoprecipitation","MI:0007","human-293t|Homo sapiens 293 cells transformed with SV40 large T antigen","9606","EBI-3197899","physical association","Q13501 (EBI-3197899) Q9P035","false","","physical association","pubmed|imex","20562859|IM-15184",,"false","EBI-3197899","Q13501 (EBI-3197899) Q9P035","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2010/12/09","intact","MI:0469"
"figure legend:Table S3|full coverage:Only protein-protein interactions|curation depth:imex curation","Behrends et al. (2010)","spoke expansion","MI:1060",,"0.4","2010/11/29","anti tag coimmunoprecipitation","MI:0007","human-293t|Homo sapiens 293 cells transformed with SV40 large T antigen","9606","EBI-3197899","physical association","Q13501 (EBI-3197899) P55084","false","","physical association","pubmed|imex","20562859|IM-15184",,"false","EBI-3197899","Q13501 (EBI-3197899) P55084","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2010/12/09","intact","MI:0469"
"figure legend:Table S3|full coverage:Only protein-protein interactions|curation depth:imex curation","Behrends et al. (2010)","spoke expansion","MI:1060",,"0.4","2010/11/29","anti tag coimmunoprecipitation","MI:0007","human-293t|Homo sapiens 293 cells transformed with SV40 large T antigen","9606","EBI-3197899","physical association","Q13501 (EBI-3197899) P82933","false","","physical association","pubmed|imex","20562859|IM-15184",,"false","EBI-3197899","Q13501 (EBI-3197899) P82933","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2010/12/09","intact","MI:0469"
"figure legend:Table S3|full coverage:Only protein-protein interactions|curation depth:imex curation","Behrends et al. (2010)","spoke expansion","MI:1060",,"0.4","2010/11/29","anti tag coimmunoprecipitation","MI:0007","human-293t|Homo sapiens 293 cells transformed with SV40 large T antigen","9606","EBI-3197899","physical association","Q13501 (EBI-3197899) P58107","false","","physical association","pubmed|imex","20562859|IM-15184",,"false","EBI-3197899","Q13501 (EBI-3197899) P58107","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2010/12/09","intact","MI:0469"
"figure legend:Table S3|full coverage:Only protein-protein interactions|curation depth:imex curation","Behrends et al. (2010)","spoke expansion","MI:1060",,"0.4","2010/11/29","anti tag coimmunoprecipitation","MI:0007","human-293t|Homo sapiens 293 cells transformed with SV40 large T antigen","9606","EBI-3197899","physical association","Q13501 (EBI-3197899) Q92896","false","","physical association","pubmed|imex","20562859|IM-15184",,"false","EBI-3197899","Q13501 (EBI-3197899) Q92896","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2010/12/09","intact","MI:0469"
"figure legend:Table S3|full coverage:Only protein-protein interactions|curation depth:imex curation","Behrends et al. (2010)","spoke expansion","MI:1060",,"0.4","2010/11/29","anti tag coimmunoprecipitation","MI:0007","human-293t|Homo sapiens 293 cells transformed with SV40 large T antigen","9606","EBI-3197899","physical association","Q13501 (EBI-3197899) Q9NX00","false","","physical association","pubmed|imex","20562859|IM-15184",,"false","EBI-3197899","Q13501 (EBI-3197899) Q9NX00","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2010/12/09","intact","MI:0469"
"figure legend:4a|full coverage:Only protein-protein interactions|curation depth:imex curation","Lievens et al. (2009)","","",,"0.89","2009/05/06","mammalian protein protein interaction trap","MI:0231","human-293t|Homo sapiens 293 cells transformed with SV40 large T antigen","9606","EBI-2322999","physical association","P63208 (EBI-2322999) Q9Y297","false","","physical association","pubmed|imex","19159283|IM-20301",,"false","EBI-2322999","P63208 (EBI-2322999) Q9Y297","unspecified role","MI:0499","psi-mi","bait","MI:0496","predetermined participant","MI:0396","unspecified role","MI:0499","prey","MI:0498","predetermined participant","MI:0396","2009/05/07","",""
"figure legend:3C|full coverage:Only protein-protein interactions|curation depth:imex curation","Ganesh et al. (2003)","","",,"0.93","2007/10/31","anti bait coimmunoprecipitation","MI:0006","human-293t|Homo sapiens 293 cells transformed with SV40 large T antigen","9606","EBI-1551255","physical association","P63208 (EBI-1551255) Q13616","false","","physical association","pubmed|imex","14685242|IM-19978",,"false","EBI-1551255","P63208 (EBI-1551255) Q13616","unspecified role","MI:0499","psi-mi","bait","MI:0496","western blot","MI:0113","unspecified role","MI:0499","prey","MI:0498","western blot","MI:0113","2008/09/22","",""
"figure legend:Fig 1B|full coverage:Only protein-protein interactions|curation depth:imex curation","D'Angiolella et al. (2012)","","",,"0.57","2012/06/22","anti tag coimmunoprecipitation","MI:0007","human-293t|Homo sapiens 293 cells transformed with SV40 large T antigen","9606","EBI-6162437","physical association","Q9UK99 (EBI-6162437) P63208","false","","physical association","pubmed|imex","22632967|IM-17368",,"false","EBI-6162437","Q9UK99 (EBI-6162437) P63208","unspecified role","MI:0499","psi-mi","bait","MI:0496","western blot","MI:0113","unspecified role","MI:0499","prey","MI:0498","western blot","MI:0113","2012/06/22","",""
"author-identifiers:\BAIT gene GI:11493555, protein GI:11493556; PREY protein GI:21431604\","Ewing et al. (2007)","","","0.316","0.4","2006/09/22","anti bait coimmunoprecipitation","MI:0006","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-1074329","physical association","Q9ULX6 (EBI-1074329) Q9Y5V3","false","","physical association","pubmed","17353931",,"false","EBI-1074329","Q9ULX6 (EBI-1074329) Q9Y5V3","unspecified role","MI:0499","psi-mi","prey","MI:0498","sequence tag identification","MI:0102","unspecified role","MI:0499","bait","MI:0496","sequence tag identification","MI:0102","2008/09/22","",""
"author-identifiers:\BAIT gene GI:3219330, protein GI:4757988; PREY protein GI:21431604\","Ewing et al. (2007)","","","0.226","0.4","2006/09/22","anti bait coimmunoprecipitation","MI:0006","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-1074835","physical association","Q9ULX6 (EBI-1074835) O76071","false","","physical association","pubmed","17353931",,"false","EBI-1074835","Q9ULX6 (EBI-1074835) O76071","unspecified role","MI:0499","psi-mi","prey","MI:0498","sequence tag identification","MI:0102","unspecified role","MI:0499","bait","MI:0496","sequence tag identification","MI:0102","2008/09/22","",""
"figure legend:Fig 4C.|comment:The N-terminal motif of RRS showed an interaction with the EPRS containing three repeats but did not bind to those containing fewer than three.|full coverage:Only protein-protein interactions|curation depth:imex curation","Rho et al. (1998)","","",,"0.37","2010/05/27","two hybrid","MI:0018","yeasx|Saccharomyces cerevisiae","4932","EBI-2679498","physical association","P54136 (EBI-2679498) P07814","false","","physical association","pubmed|imex","9556618|IM-20481",,"false","EBI-2679498","P54136 (EBI-2679498) P07814","unspecified role","MI:0499","psi-mi","bait","MI:0496","predetermined participant","MI:0396","unspecified role","MI:0499","prey","MI:0498","predetermined participant","MI:0396","2010/06/07","",""
"figure legend:Table S4|dataset:Neurodegeneration - Publications depicting interactions involved in neurodegenerative diseases.|dataset:Parkinsons - Interactions investigated in the context of Parkinsons disease|full coverage:Only protein-protein interactions|curation depth:imex curation","Miyamoto-Sato et al. (2010)","","",,"0.4","2010/05/13","display technology","MI:0034","in vitro|In vitro","-1","EBI-2683704","physical association","P54136 (EBI-2683704) Q13951","false","","physical association","pubmed|imex","20195357|IM-20475",,"false","EBI-2683704","P54136 (EBI-2683704) Q13951","unspecified role","MI:0499","psi-mi","prey","MI:0498","sequence tag identification","MI:0102","unspecified role","MI:0499","bait","MI:0496","sequence tag identification","MI:0102","2010/05/28","",""
"figure legend:Fig 2.|comment:The amount of RARS associated with AIMP1 is significantly higher in HeLa and MCF7 cells over-expressing RARS as compared to the amount of RARS associated with AIMP1 in control cells. To demonstrate that the immunoprecipitated AIMP1 was part of the ARS complex, we performed a Western blot for KARS.|dataset:Apoptosis - Interactions involving proteins with a function related to apoptosis|full coverage:Only protein-protein interactions|curation depth:imex curation","Bottoni et al. (2007)","spoke expansion","MI:1060",,"0.35","2010/05/28","anti bait coimmunoprecipitation","MI:0006","human-hela|Homo sapiens epitheloid cervix carcinoma cells","9606","EBI-2693615","association","Q12904 (EBI-2693615) Q15046","false","","association","pubmed|imex","17443684|IM-19304",,"false","EBI-2693615","Q12904 (EBI-2693615) Q15046","unspecified role","MI:0499","psi-mi","bait","MI:0496","western blot","MI:0113","unspecified role","MI:0499","prey","MI:0498","western blot","MI:0113","2010/06/07","",""
"figure legend:Fig 2.|comment:The amount of RARS associated with AIMP1 is significantly higher in HeLa and MCF7 cells over-expressing RARS as compared to the amount of RARS associated with AIMP1 in control cells. To demonstrate that the immunoprecipitated AIMP1 was part of the ARS complex, we performed a Western blot for KARS.|dataset:Apoptosis - Interactions involving proteins with a function related to apoptosis|full coverage:Only protein-protein interactions|curation depth:imex curation","Bottoni et al. (2007)","spoke expansion","MI:1060",,"0.35","2010/05/28","anti bait coimmunoprecipitation","MI:0006","human-hela|Homo sapiens epitheloid cervix carcinoma cells","9606","EBI-2693615","association","Q12904 (EBI-2693615) P54136","false","","association","pubmed|imex","17443684|IM-19304",,"false","EBI-2693615","Q12904 (EBI-2693615) P54136","unspecified role","MI:0499","psi-mi","bait","MI:0496","western blot","MI:0113","unspecified role","MI:0499","prey","MI:0498","western blot","MI:0113","2010/06/07","",""
"figure legend:S12|full coverage:Only protein-protein interactions|curation depth:imex curation","Hutchins et al. (2010)","spoke expansion","MI:1060",,"0.35","2010/01/28","tandem affinity purification","MI:0676","human-hela|Homo sapiens epitheloid cervix carcinoma cells","9606","EBI-2637822","association","Q9H1A4 (EBI-2637822) Q9UJX6","false","","association","imex|pubmed","IM-11719|20360068",,"false","EBI-2637822","Q9H1A4 (EBI-2637822) Q9UJX6","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2010/04/07","intact","MI:0469"
"author-identifiers:\BAIT gene GI:4505232, protein GI:183769; PREY protein GI:5729875\","Ewing et al. (2007)","","","0.248","0.4","2006/09/22","anti bait coimmunoprecipitation","MI:0006","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-1080338","physical association","O00264 (EBI-1080338) P29372","false","","physical association","pubmed","17353931",,"false","EBI-1080338","O00264 (EBI-1080338) P29372","unspecified role","MI:0499","psi-mi","prey","MI:0498","sequence tag identification","MI:0102","unspecified role","MI:0499","bait","MI:0496","sequence tag identification","MI:0102","2008/09/22","",""
"figure legend:Table S4|dataset:Neurodegeneration - Publications depicting interactions involved in neurodegenerative diseases.|dataset:Parkinsons - Interactions investigated in the context of Parkinsons disease|full coverage:Only protein-protein interactions|curation depth:imex curation","Miyamoto-Sato et al. (2010)","","",,"0.4","2010/05/13","display technology","MI:0034","in vitro|In vitro","-1","EBI-2691937","physical association","Q13951 (EBI-2691937) P05067","false","","physical association","pubmed|imex","20195357|IM-20475",,"false","EBI-2691937","Q13951 (EBI-2691937) P05067","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2010/05/28","",""
"author-identifiers:\BAIT gene GI:6563213, protein GI:10047116; PREY protein GI:4506341\","Ewing et al. (2007)","","","0.535","0.4","2006/09/22","anti bait coimmunoprecipitation","MI:0006","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-1076092","physical association","P28288 (EBI-1076092) Q9BUV8","false","","physical association","pubmed","17353931",,"false","EBI-1076092","P28288 (EBI-1076092) Q9BUV8","unspecified role","MI:0499","psi-mi","prey","MI:0498","sequence tag identification","MI:0102","unspecified role","MI:0499","bait","MI:0496","sequence tag identification","MI:0102","2008/09/22","",""
